time/fps,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
,,,,131072,0.012124181725084782,0.00029606808,-4.090168476104736,15871,0.3775513172149658,-3.560288906097412,-232.26083155327,153.125,0.0
380,345,492,0.0,131184,0.012112700380384922,0.00029606472,-3.261868953704834,15885,1.1310105323791504,-3.384352207183838,,,
380,346,496,0.0,131688,0.012044771574437618,0.0002960496,-6.157528877258301,15948,1.8174989223480225,-3.0504045486450195,,,
380,348,500,0.0,132512,0.01184278354048729,0.00029602488,-5.819127082824707,16051,0.2514031231403351,-2.9888062477111816,,,
381,351,504,0.0,133936,0.011490785516798496,0.00029598216,-4.781986236572266,16229,0.25979888439178467,-2.7931721210479736,,,
381,352,508,0.0,134208,0.01143720280379057,0.00029597399999999996,-0.47043174505233765,16263,0.14526548981666565,-2.7786242961883545,,,
381,353,512,0.0,134928,0.011284179985523224,0.0002959524,-1.1013621091842651,16353,0.2476111799478531,-2.2152633666992188,,,
381,357,516,0.0,136328,0.010965608060359955,0.0002959104,-4.035189151763916,16528,0.462098628282547,-2.150164842605591,,,
381,359,520,0.0,137384,0.010785105638206005,0.00029587871999999996,-4.770970344543457,16660,0.2662719488143921,-2.6636805534362793,,,
381,361,524,0.0,137904,0.010625718161463737,0.00029586312,-7.753922462463379,16725,0.3626270890235901,-2.1035189628601074,,,
382,363,528,0.0,139008,0.010054085403680801,0.00029582999999999996,-7.432360649108887,16863,0.18668270111083984,-1.860087275505066,,,
,,,,139264,0.009947983548045158,0.00029582231999999997,-6.95319938659668,16895,0.3267741799354553,-1.3293851613998413,-243.19856512514625,239.84375,0.03125
378,369,532,0.0,139752,0.00983242318034172,0.00029580768,-9.368826866149902,16956,0.4772370457649231,-2.1954305171966553,,,
379,372,536,0.0,141432,0.009347757324576378,0.00029575728,-7.332303047180176,17166,0.229908287525177,-2.1393206119537354,,,
379,375,540,0.0,142584,0.009046942926943302,0.00029572272,-5.293515682220459,17310,0.45358163118362427,-1.37974214553833,,,
380,379,544,0.0,144272,0.008611314930021763,0.00029567208,-8.183155059814453,17521,0.9766037464141846,-1.1874780654907227,,,
380,382,548,0.0,145456,0.008414224721491337,0.00029563656,-3.5881571769714355,17669,1.0498104095458984,-1.201102614402771,,,
380,384,552,0.0,146216,0.008282076567411423,0.00029561375999999996,-3.327120542526245,17764,0.26912179589271545,-1.2966997623443604,,,
,,,,147456,0.008037708699703217,0.00029557655999999996,2.6542465686798096,17919,79.81596374511719,-1.0599554777145386,-241.4822909618532,256.78125,0.0
377,391,556,0.0,147648,0.008028178475797176,0.0002955708,-5.525692939758301,17943,1.2402794361114502,-1.4612209796905518,,,
377,395,560,0.0,149408,0.007772443816065788,0.000295518,-5.415007591247559,18163,0.4071260690689087,-0.9449849724769592,,,
378,397,564,0.0,150288,0.007674050517380238,0.0002954916,-4.230224609375,18273,0.38392192125320435,-0.9012861847877502,,,
378,400,568,0.0,151592,0.0075250607915222645,0.00029545247999999996,-1.8833082914352417,18436,0.4008360505104065,-0.7177719473838806,,,
378,402,572,0.0,152624,0.007515171077102423,0.00029542151999999996,9.04096794128418,18565,0.2802119255065918,-0.2831175923347473,,,
378,404,576,0.0,153480,0.007527975365519524,0.00029539583999999995,-2.756180763244629,18672,114.27618408203125,-0.4905773401260376,,,
379,406,580,0.0,154136,0.007472555618733168,0.00029537616,0.13334394991397858,18754,0.3873133659362793,-0.008701562881469727,,,
379,409,584,0.0,155592,0.00749253248795867,0.00029533247999999996,-4.362228870391846,18936,0.1983949989080429,-0.5877540707588196,,,
,,,,155648,0.0074858651496469975,0.00029533079999999995,-3.09629225730896,18943,1.0911802053451538,-0.41716820001602173,-232.91567328847003,290.1875,0.0
376,415,588,0.0,156432,0.007457904051989317,0.00029530728,-4.676599502563477,19041,83.08283996582031,0.2682580351829529,,,
376,418,592,0.0,157624,0.00732773682102561,0.00029527152,-2.1507744789123535,19190,0.2411329746246338,0.06365609169006348,,,
376,422,596,0.0,159120,0.007310701534152031,0.00029522664,-2.1765336990356445,19377,0.2488861083984375,-0.13252884149551392,,,
376,424,600,0.0,159784,0.007302890531718731,0.00029520671999999995,-1.7398102283477783,19460,27.72669219970703,0.24985969066619873,,,
376,427,604,0.0,161072,0.00747531047090888,0.00029516808,-3.125304698944092,19621,0.2645503282546997,0.2981463074684143,,,
377,428,608,0.0,161720,0.0072560301050543785,0.00029514863999999995,-2.825204372406006,19702,0.4618304967880249,0.35646724700927734,,,
377,431,612,0.0,162832,0.007113277446478605,0.00029511527999999995,0.1606311798095703,19841,0.4606122076511383,0.9700716733932495,,,
,,,,163840,0.007042094133794308,0.00029508503999999995,-0.862351655960083,19967,0.34920430183410645,0.3037348985671997,-243.5367081956178,339.15625,0.0
374,439,616,0.0,164664,0.007056009955704212,0.00029506032,1.4034936428070068,20070,0.26062944531440735,-0.06767868995666504,,,
374,441,620,0.0,165424,0.0071395584382116795,0.00029503752,2.5255439281463623,20165,0.2474980354309082,0.30825212597846985,,,
374,442,624,0.0,165952,0.007236297242343426,0.00029502167999999996,-0.6188416481018066,20231,0.7159436941146851,-0.30130231380462646,,,
374,444,628,0.0,166520,0.007367696147412062,0.00029500463999999996,-0.6392404437065125,20302,0.20620931684970856,0.13429048657417297,,,
374,445,632,0.0,166960,0.007501466199755669,0.00029499143999999996,12.320358276367188,20357,1.3038504123687744,1.218301773071289,,,
375,447,636,0.0,167816,0.0076143378391861916,0.00029496575999999995,4.000046730041504,20464,1.812742829322815,1.0416665077209473,,,
375,450,640,0.0,169400,0.007761714514344931,0.00029491824,7.871862411499023,20662,0.3951180875301361,1.2360284328460693,,,
375,452,644,0.0,170120,0.00788161065429449,0.00029489664,-0.12411266565322876,20752,33.018890380859375,0.6705086827278137,,,
376,454,648,0.0,171000,0.007896315306425095,0.00029487024,4.165983200073242,20862,0.24087464809417725,0.996928870677948,,,
,,,,172032,0.007920985110104084,0.00029483928,-2.5402612686157227,20991,1.368314504623413,0.5826601386070251,-231.049290003728,267.0625,0.0
373,461,652,0.0,172496,0.007906969636678696,0.00029482536,-0.7794178128242493,21049,0.8488129377365112,1.4385100603103638,,,
373,463,656,0.0,173312,0.008040046319365501,0.00029480087999999996,-4.34153938293457,21151,0.2904360294342041,0.9491447806358337,,,
374,464,660,0.0,173840,0.007922960445284843,0.00029478503999999994,-1.0125373601913452,21217,0.3378341794013977,0.959277331829071,,,
374,468,664,0.0,175288,0.007786592468619347,0.0002947416,0.0945124626159668,21398,0.7052935361862183,1.203487753868103,,,
374,470,668,0.0,176368,0.0077866739593446255,0.0002947092,-3.914395332336426,21533,0.28295212984085083,1.141178846359253,,,
374,471,672,0.0,176696,0.007684284821152687,0.00029469935999999996,-6.085072994232178,21574,0.15719810128211975,1.0890475511550903,,,
375,474,676,0.0,177920,0.007448169402778149,0.00029466264,-1.903334379196167,21727,0.4004320800304413,1.8692843914031982,,,
375,477,680,0.0,179208,0.007480630651116371,0.00029462399999999995,9.244908332824707,21888,0.3348427414894104,1.7100156545639038,,,
375,480,684,0.0,180208,0.007596393581479788,0.00029459399999999996,-3.7601137161254883,22013,0.16253750026226044,1.6002957820892334,,,
,,,,180224,0.0075927977450191975,0.00029459352,-4.649768829345703,22015,0.22095657885074615,1.7512181997299194,-238.30866111521593,240.5,0.0
